"","FIPS","E.Hesitant","E.Hesitant/Unsure","E.V.Hesitant","Hispanic","Native","Asian","Black","Hawaiian.Pacific","White","State","Pov","Unemp","Income","NoHSDP","Age65","Age17","Disab","SNGPNT","MINRTY","LIMENG","MUnit","Mobile","Crowd","NoVeh","GroupQ","RUCC","R.Years","D.Years","R.Cycles","D.Cycles","2020"
"358",5051,0.2031,0.2502,0.133,0.0563,0.0085,0.006,0.0817,0,0.8206,"AR",18.6,7.1,26791,11.6,22.8,20.4,20.5,9.8,17.7,1.2,7.4,13.6,1.8,7.7,2.2,3,21,0,6,0,"REPUBLICAN"
"359",5041,0.2237,0.2767,0.1495,0.0613,0.002,0.0044,0.466,0,0.4523,"AR",29.1,10.7,18475,21.2,18.1,25.7,20.7,11.1,54.5,2.7,1.4,15.6,1.4,15.7,0.7,6,6,15,1,5,"REPUBLICAN"
"360",1095,0.1618,0.2103,0.1225,0.1397,0.0036,0.006,0.0267,5e-04,0.8075,"AL",21.7,5.1,23833,19.1,16.8,24.9,15.5,9.2,18.8,4,1.6,14.8,2.6,4.8,1.1,4,21,0,6,0,"REPUBLICAN"
"361",1031,0.1758,0.2304,0.1343,0.0728,0.0116,0.0144,0.168,0,0.7015,"AL",15.1,5.9,27577,13.8,16.3,23.7,17.7,9.7,29.4,1.4,0.9,13.6,1.4,6,1.2,4,21,0,6,0,"REPUBLICAN"
"362",5001,0.2119,0.2646,0.1402,0.0319,0.0017,4e-04,0.2588,0,0.6976,"AR",20,6.3,24714,17,18.4,23,24.4,10.8,30,0.1,1.9,15.5,1.5,10.3,1.4,6,21,0,6,0,"REPUBLICAN"
"363",5023,0.2177,0.2654,0.1452,0.0243,0.0117,0.0067,0.0039,0,0.9467,"AR",14.6,4.7,26620,15.3,26.5,19,17.8,6.8,5.3,0,0.5,23,1.1,2.8,1.3,6,21,0,6,0,"REPUBLICAN"
"364",4009,0.1638,0.2442,0.1252,0.3301,0.1253,0.0063,0.0182,0.0012,0.5086,"AZ",21.3,9.4,18113,14.4,13.2,27.3,13,10.7,49.1,2.4,2.6,26.4,6.1,5.8,11.1,7,21,0,6,0,"REPUBLICAN"
"365",6065,0.069,0.1068,0.0335,0.4891,0.0043,0.0632,0.061,0.0027,0.3532,"CA",14.7,8.6,27142,18.3,13.8,25.8,11.4,9.4,64.1,8.1,7.8,8.8,6.9,4.3,1.5,1,3,18,2,4,"DEMOCRAT"
"366",8085,0.0768,0.1187,0.0474,0.2062,0.0078,0.0083,0.0028,0.0027,0.7605,"CO",16.7,7,25803,11.2,22.4,22,16.9,5.7,23.9,3.7,3.8,17.4,2.7,5.6,1.3,4,21,0,6,0,"REPUBLICAN"
"367",8013,0.0576,0.0902,0.0346,0.1387,0.0028,0.0471,0.0084,6e-04,0.7757,"CO",12.5,4.8,43831,4.9,13.1,19.6,8.1,6.6,22.2,1.9,17.7,2.9,1.7,5.3,3.6,2,0,21,0,6,"DEMOCRAT"
